t_s,v_kmh,v_ms,grade_pct,dist_m,P_wheel_kW
215.0000,37.6331,10.4536,0.0000,2859.1613,-85.8200
216.0000,32.8773,9.1326,0.0000,2868.9544,-75.5702
217.0000,28.1215,7.8115,0.0000,2877.4264,-65.0794
218.0000,23.3657,6.4905,0.0000,2884.5775,-54.3825
219.0000,18.6100,5.1694,0.0000,2890.4074,-43.5144
220.0000,13.8542,3.8484,0.0000,2894.9163,-32.5098
221.0000,9.0984,2.5273,0.0000,2898.1042,-21.4037
222.0000,4.4333,1.2315,0.0000,2899.9739,-9.0364
223.0000,1.6308,0.4530,0.0000,2900.7569,-1.1642
224.0000,0.5926,0.1646,0.0000,2901.0420,-0.0927
225.0000,0.2153,0.0598,0.0000,2901.1456,-0.1010
226.0000,0.0000,0.0000,0.0000,2901.1486,0.0000
227.0000,0.0000,0.0000,0.0000,2901.1486,0.0000
228.0000,0.0000,0.0000,0.0000,2901.1486,0.0000
229.0000,0.0000,0.0000,0.0000,2901.1486,0.0000
230.0000,0.0000,0.0000,0.0000,2901.1486,0.0000
231.0000,0.0000,0.0000,0.0000,2901.1486,0.0000
232.0000,0.0000,0.0000,0.0000,2901.1486,0.0000
233.0000,0.0000,0.0000,0.0000,2901.1486,0.0000
234.0000,0.0000,0.0000,0.0000,2901.1486,0.0000
235.0000,0.0000,0.0000,0.0000,2901.1486,0.0000
236.0000,0.0000,0.0000,0.0000,2901.1486,0.0000
237.0000,0.0000,0.0000,0.0000,2901.1486,0.0000
238.0000,0.0000,0.0000,0.0000,2901.1486,0.0000
239.0000,0.0000,0.0000,0.0000,2901.1486,0.0000
240.0000,2.8617,0.7949,0.0000,2901.4745,5.8843
241.0000,6.4314,1.7865,0.0000,2902.7656,13.1794
242.0000,9.9690,2.7692,0.0000,2905.0446,20.1915
243.0000,13.4316,3.7310,0.0000,2908.2970,26.5403
244.0000,16.7622,4.6562,0.0000,2912.4944,31.7611
245.0000,19.8969,5.5269,0.0000,2917.5911,35.4245
246.0000,22.7746,6.3263,0.0000,2923.5243,37.2697
247.0000,25.3463,7.0406,0.0000,2930.2152,37.2952
248.0000,27.5471,7.6520,0.0000,2937.5734,31.4815
249.0000,28.8426,8.0118,0.0000,2945.4218,20.8041
250.0000,29.6029,8.2230,0.0000,2953.5474,16.4130
251.0000,30.0890,8.3581,0.0000,2961.8479,10.5333
252.0000,30.2434,8.4009,0.0000,2970.2288,8.5852
253.0000,30.3055,8.4182,0.0000,2978.6405,6.1962
254.0000,30.2716,8.4088,0.0000,2987.0528,6.5604
255.0000,30.2771,8.4103,0.0000,2995.4635,6.2840
256.0000,30.3895,8.4415,0.0000,3003.8842,9.5938
257.0000,30.5817,8.4949,0.0000,3012.3527,9.3243
258.0000,30.6179,8.5050,0.0000,3020.8587,6.1435
259.0000,30.6203,8.5056,0.0000,3029.3662,5.1683
260.0000,30.5587,8.4885,0.0000,3037.8600,6.4074
261.0000,30.5551,8.4875,0.0000,3046.3464,6.4785
262.0000,29.7742,8.2706,0.0000,3054.7910,-41.4677
263.0000,26.4394,7.3443,0.0000,3062.5984,-41.4193
264.0000,23.1046,6.4180,0.0000,3069.4795,-36.4013
265.0000,19.7699,5.4916,0.0000,3075.4343,-31.3001
266.0000,16.4351,4.5653,0.0000,3080.4628,-26.1275
267.0000,13.1003,3.6390,0.0000,3084.5649,-20.8958
268.0000,9.7656,2.7127,0.0000,3087.7408,-15.6169
269.0000,6.4308,1.7863,0.0000,3089.9902,-10.3027
270.0000,3.4256,0.9515,0.0000,3091.3377,-4.1173
271.0000,1.5274,0.4243,0.0000,3091.9922,-0.7567
272.0000,0.6783,0.1884,0.0000,3092.2829,-0.0882
273.0000,0.3012,0.0837,0.0000,3092.4120,0.0097
274.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
275.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
276.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
277.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
278.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
279.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
280.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
281.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
282.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
283.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
284.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
285.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
286.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
287.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
288.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
289.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
290.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
291.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
292.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
293.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
294.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
295.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
296.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
297.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
298.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
299.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
300.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
301.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
302.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
303.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
304.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
305.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
306.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
307.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
308.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
309.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
310.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
311.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
312.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
313.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
314.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
315.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
316.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
317.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
318.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
319.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
320.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
321.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
322.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
323.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
324.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
325.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
326.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
327.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
328.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
329.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
330.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
331.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
332.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
333.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
334.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
335.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
336.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
337.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
338.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
339.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
340.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
341.0000,0.0000,0.0000,0.0000,3092.4492,0.0000
