vehicle,duty,case,component,kWh_min,kWh_median,kWh_max,mean_kW_max,peak_kW,roll120s_mean_kW_max,roll600s_mean_kW_max,split_exhaust_kWh_median,split_coolant_oil_kWh_median,split_cac_kWh_median,resistor_share_lower_bound_kWh_median,max_governing_case
ruler,VOLT-REG,alt2000m_45C,ruler engine (fuel - shaft),135.9997,136.4225,136.6503,74.8680,240.5979,235.1286,150.9649,66.8470,51.8405,13.6422,,seed 3 of the enumerated 8-seed VOLT-REG ensemble [alt2000m_45C]
ruler,VOLT-REG,alt2000m_45C,ruler driveline + accessories (shaft - wheel),10.9042,10.9688,11.0239,6.0403,,,,,,,,seed 9 of the enumerated 8-seed VOLT-REG ensemble [alt2000m_45C]
ruler,VOLT-REG,alt2000m_45C,ruler friction brakes (all braking energy),5.5416,5.6205,5.6873,3.1115,,,,,,,,seed 8 of the enumerated 8-seed VOLT-REG ensemble [alt2000m_45C]
V2,VOLT-REG,alt2000m_45C,V2 genset engine (fuel - shaft),108.5376,109.3294,109.7564,59.9516,215.6701,179.8926,133.0222,53.5714,41.5452,10.9329,,seed 6 of the enumerated 8-seed VOLT-REG ensemble [alt2000m_45C]
V2,VOLT-REG,alt2000m_45C,V2 generator + rectifier,3.6391,3.6680,3.6854,2.0131,,,,,,,,seed 6 of the enumerated 8-seed VOLT-REG ensemble [alt2000m_45C]
V2,VOLT-REG,alt2000m_45C,V2 traction chain (inverter+motor+reduction),6.9297,6.9511,6.9695,3.8190,,,,,,,,seed 5 of the enumerated 8-seed VOLT-REG ensemble [alt2000m_45C]
V2,VOLT-REG,alt2000m_45C,"V2 R15 blend overflow, LUMPED resistor + friction",0.4218,0.5833,0.6665,0.3650,,,,,,,0.0000,seed 3 of the enumerated 8-seed VOLT-REG ensemble [alt2000m_45C]
ruler,VOLT-REG,climb_10km_6pct,ruler engine (fuel - shaft),182.8568,183.3535,183.7110,95.1527,265.6240,261.4840,255.1076,89.8432,69.6743,18.3353,,seed 9 of the enumerated 8-seed VOLT-REG ensemble [climb_10km_6pct]
ruler,VOLT-REG,climb_10km_6pct,ruler driveline + accessories (shaft - wheel),10.8673,11.1669,11.2938,5.8488,,,,,,,,seed 9 of the enumerated 8-seed VOLT-REG ensemble [climb_10km_6pct]
ruler,VOLT-REG,climb_10km_6pct,ruler friction brakes (all braking energy),4.5470,4.6417,4.6674,2.4140,,,,,,,,seed 8 of the enumerated 8-seed VOLT-REG ensemble [climb_10km_6pct]
V2,VOLT-REG,climb_10km_6pct,V2 genset engine (fuel - shaft),162.3151,163.4775,163.7668,84.7918,239.8318,239.8318,237.2499,80.1040,62.1215,16.3478,,seed 3 of the enumerated 8-seed VOLT-REG ensemble [climb_10km_6pct]
V2,VOLT-REG,climb_10km_6pct,V2 generator + rectifier,5.1101,5.1621,5.1895,2.6875,,,,,,,,seed 9 of the enumerated 8-seed VOLT-REG ensemble [climb_10km_6pct]
V2,VOLT-REG,climb_10km_6pct,V2 traction chain (inverter+motor+reduction),9.1936,9.2166,9.2662,4.8021,,,,,,,,seed 5 of the enumerated 8-seed VOLT-REG ensemble [climb_10km_6pct]
V2,VOLT-REG,climb_10km_6pct,"V2 R15 blend overflow, LUMPED resistor + friction",0.3643,0.5262,0.6151,0.3184,,,,,,,0.0000,seed 3 of the enumerated 8-seed VOLT-REG ensemble [climb_10km_6pct]
V2,VOLT-SUB,nominal,V2 genset engine (fuel - shaft),14.6212,15.4786,16.3728,16.9078,120.3393,120.3393,52.0467,7.5845,5.8819,1.5479,,seed 7 of the enumerated 8-seed VOLT-SUB ensemble [nominal]
V2,VOLT-SUB,nominal,V2 generator + rectifier,0.4964,0.5255,0.5559,0.5741,,,,,,,,seed 7 of the enumerated 8-seed VOLT-SUB ensemble [nominal]
V2,VOLT-SUB,nominal,V2 traction chain (inverter+motor+reduction),1.4588,1.4691,1.4791,1.5255,,,,,,,,seed 8 of the enumerated 8-seed VOLT-SUB ensemble [nominal]
V2,VOLT-SUB,nominal,"V2 R15 blend overflow, LUMPED resistor + friction",0.2132,0.2603,0.3029,0.3126,,,,,,,0.0000,seed 5 of the enumerated 8-seed VOLT-SUB ensemble [nominal]
V2,VOLT-SUB,payload_p20,V2 genset engine (fuel - shaft),14.8686,15.4285,16.4631,16.9286,120.3393,120.3393,53.9321,7.5600,5.8628,1.5428,,seed 3 of the enumerated 8-seed VOLT-SUB ensemble [payload_p20]
V2,VOLT-SUB,payload_p20,V2 generator + rectifier,0.5048,0.5238,0.5590,0.5748,,,,,,,,seed 3 of the enumerated 8-seed VOLT-SUB ensemble [payload_p20]
V2,VOLT-SUB,payload_p20,V2 traction chain (inverter+motor+reduction),1.6383,1.6466,1.6613,1.7135,,,,,,,,seed 8 of the enumerated 8-seed VOLT-SUB ensemble [payload_p20]
V2,VOLT-SUB,payload_p20,"V2 R15 blend overflow, LUMPED resistor + friction",0.4197,0.4973,0.5618,0.5804,,,,,,,0.0000,seed 11 of the enumerated 8-seed VOLT-SUB ensemble [payload_p20]
V2,VOLT-SUB,payload_m20,V2 genset engine (fuel - shaft),14.4842,15.2814,16.2959,16.8284,120.3393,120.3393,51.8863,7.4879,5.8069,1.5281,,seed 7 of the enumerated 8-seed VOLT-SUB ensemble [payload_m20]
V2,VOLT-SUB,payload_m20,V2 generator + rectifier,0.4918,0.5188,0.5533,0.5714,,,,,,,,seed 7 of the enumerated 8-seed VOLT-SUB ensemble [payload_m20]
V2,VOLT-SUB,payload_m20,V2 traction chain (inverter+motor+reduction),1.4336,1.4441,1.4535,1.4992,,,,,,,,seed 8 of the enumerated 8-seed VOLT-SUB ensemble [payload_m20]
V2,VOLT-SUB,payload_m20,"V2 R15 blend overflow, LUMPED resistor + friction",0.1920,0.2347,0.2743,0.2831,,,,,,,0.0000,seed 5 of the enumerated 8-seed VOLT-SUB ensemble [payload_m20]
V2,VOLT-SUB,cold_-10C,V2 genset engine (fuel - shaft),14.2869,15.5906,16.6369,17.1805,120.3393,120.3393,52.8289,7.6394,5.9244,1.5591,,seed 7 of the enumerated 8-seed VOLT-SUB ensemble [cold_-10C]
V2,VOLT-SUB,cold_-10C,V2 generator + rectifier,0.4851,0.5293,0.5649,0.5833,,,,,,,,seed 7 of the enumerated 8-seed VOLT-SUB ensemble [cold_-10C]
V2,VOLT-SUB,cold_-10C,V2 traction chain (inverter+motor+reduction),1.4723,1.4827,1.4926,1.5394,,,,,,,,seed 8 of the enumerated 8-seed VOLT-SUB ensemble [cold_-10C]
V2,VOLT-SUB,cold_-10C,"V2 R15 blend overflow, LUMPED resistor + friction",0.2191,0.2675,0.3104,0.3205,,,,,,,0.0111,seed 5 of the enumerated 8-seed VOLT-SUB ensemble [cold_-10C]
V2,VOLT-SUB,alt2000m_45C,V2 genset engine (fuel - shaft),14.5845,15.5004,16.1489,16.6521,120.3393,120.3393,51.4651,7.5952,5.8901,1.5500,,seed 4 of the enumerated 8-seed VOLT-SUB ensemble [alt2000m_45C]
V2,VOLT-SUB,alt2000m_45C,V2 generator + rectifier,0.4952,0.5263,0.5483,0.5654,,,,,,,,seed 4 of the enumerated 8-seed VOLT-SUB ensemble [alt2000m_45C]
V2,VOLT-SUB,alt2000m_45C,V2 traction chain (inverter+motor+reduction),1.4257,1.4357,1.4458,1.4912,,,,,,,,seed 8 of the enumerated 8-seed VOLT-SUB ensemble [alt2000m_45C]
V2,VOLT-SUB,alt2000m_45C,"V2 R15 blend overflow, LUMPED resistor + friction",0.2232,0.2722,0.3153,0.3255,,,,,,,0.0000,seed 5 of the enumerated 8-seed VOLT-SUB ensemble [alt2000m_45C]
