# Project Volt WS11 - R34 10 Hz trace
# RULER (stock NPR-HD) / VOLT-REG / nominal / seed 23
# mass 6600 kg, payload 2900 kg, engine 4HK1-TC-ref-W, A465id 6-speed + 4.555 axle
t_s,v_kmh,grade_pct,P_wheel_kW,gear,lockup,N_eng_rpm,T_eng_Nm,P_shaft_eng_kW,fuel_g_per_s
14.8000,43.0892,0.2593,27.7133,4.0000,1.0000,1407.0956,219.8356,32.3929,2.1329
14.9000,43.1514,0.2593,27.1753,4.0000,1.0000,1409.1291,215.6530,31.8225,2.1050
15.0000,43.2103,0.2592,26.5218,4.0000,1.0000,1411.0504,210.6672,31.1292,2.0708
15.1000,43.2664,0.2592,25.9353,4.0000,1.0000,1412.8834,206.1889,30.5071,2.0401
15.2000,43.3197,0.2592,25.3809,4.0000,1.0000,1414.6244,201.9657,29.9190,2.0110
15.3000,43.3706,0.2592,24.8038,4.0000,1.0000,1416.2875,197.6006,29.3068,1.9807
15.4000,43.4186,0.2592,24.4370,4.0000,1.0000,1417.8531,194.7636,28.9180,1.9616
15.5000,43.4660,0.2591,24.4462,4.0000,1.0000,1419.4015,194.6236,28.9287,1.9629
15.6000,43.5137,0.2591,24.4338,4.0000,1.0000,1420.9595,194.3287,28.9166,1.9631
15.7000,43.5607,0.2591,24.3237,4.0000,1.0000,1422.4940,193.3408,28.8007,1.9579
15.8000,43.6072,0.2591,23.9909,4.0000,1.0000,1424.0107,190.7695,28.4479,1.9406
15.9000,43.6510,0.2590,23.2666,4.0000,1.0000,1425.4411,185.4271,27.6790,1.9020
16.0000,43.6908,0.2590,22.1957,4.0000,1.0000,1426.7439,177.6460,26.5418,1.8444
16.1000,43.7251,0.2590,20.8041,4.0000,1.0000,1427.8639,167.6193,25.0634,1.7690
16.2000,43.7528,0.2589,19.2113,5.0000,1.0000,1100.1508,204.6332,23.5753,1.5436
16.3000,43.7732,0.2589,17.5865,5.0000,1.0000,1100.6635,189.2471,21.8128,1.4545
16.4000,43.7867,0.2589,16.1300,5.0000,1.0000,1101.0038,175.4857,20.2329,1.3740
16.5000,43.7945,0.2588,14.8760,5.0000,1.0000,1101.1990,163.6588,18.8727,1.3044
16.6000,43.7972,0.2588,14.0733,5.0000,1.0000,1101.2666,156.0984,18.0020,1.2596
16.7000,43.7980,0.2588,13.5021,5.0000,1.0000,1101.2874,150.7222,17.3823,1.2276
16.8000,43.7958,0.2587,12.9613,5.0000,1.0000,1101.2311,145.6422,16.7956,1.1973
16.9000,43.7920,0.2587,12.7884,5.0000,1.0000,1101.1351,144.0273,16.6079,1.1875
17.0000,43.7882,0.2586,12.9852,5.0000,1.0000,1101.0418,145.8909,16.8213,1.1985
17.1000,43.7861,0.2586,13.4111,5.0000,1.0000,1100.9889,149.9048,17.2833,1.2224
17.2000,43.7861,0.2585,13.9509,5.0000,1.0000,1100.9883,154.9846,17.8690,1.2526
17.3000,43.7887,0.2585,14.4928,5.0000,1.0000,1101.0525,160.0739,18.4568,1.2829
17.4000,43.7933,0.2584,14.9249,5.0000,1.0000,1101.1692,164.1233,18.9257,1.3071
17.5000,43.7996,0.2584,15.2347,5.0000,1.0000,1101.3267,167.0151,19.2620,1.3244
17.6000,43.8069,0.2583,15.3144,5.0000,1.0000,1101.5099,167.7373,19.3485,1.3289
17.7000,43.8138,0.2583,15.4693,5.0000,1.0000,1101.6838,169.1687,19.5167,1.3376
17.8000,43.8224,0.2582,15.9561,5.0000,1.0000,1101.8999,173.7137,20.0449,1.3648
17.9000,43.8334,0.2581,16.3413,5.0000,1.0000,1102.1784,177.2921,20.4630,1.3863
18.0000,43.8453,0.2581,16.4175,5.0000,1.0000,1102.4766,177.9614,20.5458,1.3906
18.1000,43.8570,0.2580,16.4556,5.0000,1.0000,1102.7702,178.2743,20.5874,1.3929
18.2000,43.8691,0.2580,16.4819,5.0000,1.0000,1103.0753,178.4730,20.6161,1.3945
18.3000,43.8810,0.2579,16.5517,5.0000,1.0000,1103.3731,179.0825,20.6921,1.3985
18.4000,43.8936,0.2578,16.4607,5.0000,1.0000,1103.6920,178.1783,20.5936,1.3936
18.5000,43.9046,0.2578,16.0189,5.0000,1.0000,1103.9687,173.9890,20.1144,1.3692
18.6000,43.9135,0.2577,15.6521,5.0000,1.0000,1104.1906,170.5142,19.7167,1.3489
18.7000,43.9213,0.2576,15.5926,5.0000,1.0000,1104.3871,169.9267,19.6522,1.3457
18.8000,43.9296,0.2575,15.7413,5.0000,1.0000,1104.5954,171.2901,19.8136,1.3540
18.9000,43.9386,0.2575,16.3339,5.0000,1.0000,1104.8230,176.8131,20.4567,1.3870
19.0000,43.9520,0.2574,17.1956,5.0000,1.0000,1105.1584,184.8393,21.3918,1.4349
19.1000,43.9684,0.2573,17.5938,5.0000,1.0000,1105.5707,188.5039,21.8241,1.4571
19.2000,43.9850,0.2572,17.7569,5.0000,1.0000,1105.9900,189.9623,22.0012,1.4663
19.3000,44.0028,0.2572,17.5482,5.0000,1.0000,1106.4355,187.9344,21.7751,1.4550
19.4000,44.0176,0.2571,16.7407,5.0000,1.0000,1106.8076,180.3152,20.8994,1.4105
19.5000,44.0283,0.2570,15.7430,5.0000,1.0000,1107.0770,170.9370,19.8172,1.3552
19.6000,44.0345,0.2569,14.7135,5.0000,1.0000,1107.2328,161.2811,18.7004,1.2980
19.7000,44.0363,0.2568,13.4584,5.0000,1.0000,1107.2796,149.5323,17.3389,1.2278
19.8000,44.0318,0.2567,12.3262,5.0000,1.0000,1107.1647,138.9530,16.1105,1.1642
19.9000,44.0239,0.2567,11.6001,5.0000,1.0000,1106.9680,132.1813,15.3226,1.1232
20.0000,44.0132,0.2566,11.4008,5.0000,1.0000,1106.6974,130.3458,15.1062,1.1118
20.1000,44.0037,0.2565,11.8500,5.0000,1.0000,1106.4590,134.5790,15.5934,1.1370
20.2000,43.9968,0.2564,12.4355,5.0000,1.0000,1106.2865,140.0813,16.2284,1.1699
20.3000,43.9924,0.2563,12.7694,5.0000,1.0000,1106.1752,143.2218,16.5906,1.1886
20.4000,43.9884,0.2562,12.7766,5.0000,1.0000,1106.0754,143.3014,16.5983,1.1890
20.5000,43.9841,0.2561,12.4698,5.0000,1.0000,1105.9663,140.4414,16.2654,1.1717
20.6000,43.9775,0.2560,12.1416,5.0000,1.0000,1105.8009,137.3871,15.9093,1.1532
20.7000,43.9704,0.2559,12.0570,5.0000,1.0000,1105.6218,136.6154,15.8174,1.1483
20.8000,43.9631,0.2558,12.0146,5.0000,1.0000,1105.4390,136.2391,15.7712,1.1459
20.9000,43.9557,0.2557,12.1687,5.0000,1.0000,1105.2517,137.7063,15.9384,1.1545
21.0000,43.9498,0.2556,12.4275,5.0000,1.0000,1105.1032,140.1499,16.2190,1.1690
21.1000,43.9446,0.2555,12.1870,5.0000,1.0000,1104.9725,137.9104,15.9579,1.1554
21.2000,43.9366,0.2554,11.3182,5.0000,1.0000,1104.7727,129.7873,15.0153,1.1063
