t_s,x_m,v_kmh,grade_pct,z_m,P_wheel_kW,fuel_g_per_s,fuel_cum_g,P_friction_brake_kW,trip_time_flag,N_eng_rpm,T_eng_Nm,P_shaft_eng_kW,engine_state,P_gen_bus_kW,P_bus_load_kW,P_motor_bus_kW,P_motor_mech_kW,P_regen_pack_kW,P_heater_kW,P_resistor_kW,soc_pct,T_pack_C,genset_state,P_batt_bus_kW
116,1501.96,49.9945,0,0,14.9083,0,0,0,0,0,0,0,0,0,18.6023,16.6023,14.9083,0,0,0,47.9743,25.2882,0,-18.6023
117,1515.85,49.9809,0,0,14.1285,0,0,0,0,0,0,0,0,0,17.7766,15.7766,14.1285,0,0,0,47.9275,25.2892,0,-17.7766
118,1529.73,49.984,0,0,15.0314,0,0,0,0,0,0,0,0,0,18.7324,16.7324,15.0314,0,0,0,47.8793,25.2902,0,-18.7324
119,1543.62,49.9899,0,0,14.9625,0,0,0,0,0,0,0,0,0,18.6597,16.6597,14.9625,0,0,0,47.831,25.2913,0,-18.6597
120,1557.5,49.9575,0,0,12.0379,0,0,0,0,0,0,0,0,0,15.563,13.563,12.0379,0,0,0,47.7859,25.2922,0,-15.563
121,1571.36,49.7881,0,0,7.31919,0,0,0,0,0,0,0,0,0,10.5952,8.5952,7.31919,0,0,0,47.7511,25.2926,0,-10.5952
122,1585.16,49.5559,0,0,10.5626,0,0,0,0,0,0,0,0,0,13.9962,11.9962,10.5626,0,0,0,47.7199,25.2929,0,-13.9962
123,1598.9,49.364,0,0,9.2616,0,0,0,0,0,0,0,0,0,12.6261,10.6261,9.2616,0,0,0,47.6867,25.2932,0,-12.6261
124,1612.6,49.3023,0,0,14.167,0,0,0,0,0,0,0,0,0,17.8056,15.8056,14.167,0,0,0,47.6437,25.294,0,-17.8056
125,1626.29,49.3056,0,0,15.8094,0,0,0,0,0,0,0,0,0,19.5446,17.5446,15.8094,0,0,0,47.5964,25.295,0,-19.5446
126,1640.01,49.4858,0,0,20.6791,0,0,0,0,0,0,0,0,0,24.7362,22.7362,20.6791,0,0,0,47.536,25.2968,0,-24.7362
127,1653.77,49.594,0,0,15.3253,0,0,0,0,0,0,0,0,0,19.037,17.037,15.3253,0,0,0,47.4817,25.2983,0,-19.037
128,1667.55,49.5942,0,0,13.0631,0,0,0,0,0,0,0,0,0,16.6419,14.6419,13.0631,0,0,0,47.4347,25.2992,0,-16.6419
129,1681.33,49.5693,0,0,13.5634,0,0,0,0,0,0,0,0,0,17.1712,15.1712,13.5634,0,0,0,47.3892,25.3001,0,-17.1712
130,1695.09,49.5063,0,0,10.5603,0,0,0,0,0,0,0,0,0,13.9928,11.9928,10.5603,0,0,0,47.347,25.3009,0,-13.9928
131,1708.82,49.3955,0,0,13.1291,0,0,0,0,0,0,0,0,0,16.7083,14.7083,13.1291,0,0,0,47.3075,25.3015,0,-16.7083
132,1722.54,49.349,0,0,11.6973,0,0,0,0,0,0,0,0,0,15.1915,13.1915,11.6973,0,0,0,47.2641,25.3022,0,-15.1915
133,1736.23,49.2385,0,0,11.1491,0,0,0,0,0,0,0,0,0,14.6091,12.6091,11.1491,0,0,0,47.2254,25.3028,0,-14.6091
134,1749.89,49.0421,0,0,9.72336,0,0,0,0,0,0,0,0,0,13.1045,11.1045,9.72336,0,0,0,47.1929,25.3031,0,-13.1045
135,1763.49,48.9194,0,0,11.783,0,0,0,0,0,0,0,0,0,15.2746,13.2746,11.783,0,0,0,47.1551,25.3036,0,-15.2746
136,1777.06,48.8257,0,0,13.4808,0,0,0,0,0,0,0,0,0,17.0708,15.0708,13.4808,0,0,0,47.1153,25.3042,0,-17.0708
137,1790.63,48.8287,0,0,13.2299,0,0,0,0,0,0,0,0,0,16.8052,14.8052,13.2299,0,0,0,47.0691,25.3051,0,-16.8052
138,1804.2,48.9472,0,0,19.0133,0,0,0,0,0,0,0,0,0,22.9532,20.9532,19.0133,0,0,0,47.0139,25.3066,0,-22.9532
139,1817.81,48.9658,0,0,13.0719,0,0,0,0,0,0,0,0,0,16.6403,14.6403,13.0719,0,0,0,46.967,25.3076,0,-16.6403
140,1831.4,48.9481,0,0,13.1099,0,0,0,0,0,0,0,0,0,16.6802,14.6802,13.1099,0,0,0,46.922,25.3085,0,-16.6802
141,1845,48.9206,0,0,13.3807,0,0,0,0,0,0,0,0,0,16.9664,14.9664,13.3807,0,0,0,46.8777,25.3093,0,-16.9664
142,1858.57,48.8083,0,0,12.8703,0,0,0,0,0,0,0,0,0,16.424,14.424,12.8703,0,0,0,46.8396,25.3098,0,-16.424
143,1872.13,48.8776,0,0,20.1793,0,0,0,0,0,0,0,0,0,24.1955,22.1955,20.1793,0,0,0,46.7877,25.3111,0,-24.1955
144,1885.74,49.0842,0,0,18.6606,0,0,0,0,0,0,0,0,0,22.579,20.579,18.6606,0,0,0,46.7268,25.313,0,-22.579
145,1899.4,49.2776,0,0,20.9302,0,0,0,0,0,0,0,0,0,25.0014,23.0014,20.9302,0,0,0,46.6661,25.3148,0,-25.0014
146,1913.12,49.4957,0,0,20.119,0,0,0,0,0,0,0,0,0,24.1392,22.1392,20.119,0,0,0,46.6036,25.3168,0,-24.1392
147,1926.9,49.6785,0,0,18.5075,0,0,0,0,0,0,0,0,0,22.4237,20.4237,18.5075,0,0,0,46.5434,25.3186,0,-22.4237
148,1940.71,49.7969,0,0,17.1971,0,0,0,0,0,0,0,0,0,21.0285,19.0285,17.1971,0,0,0,46.4875,25.3201,0,-21.0285
149,1954.56,49.8718,0,0,16.3314,0,0,0,0,0,0,0,0,0,20.1068,18.1068,16.3314,0,0,0,46.4346,25.3214,0,-20.1068
150,1968.42,49.919,0,0,15.7855,0,0,0,0,0,0,0,0,0,19.5297,17.5297,15.7855,0,0,0,46.3835,25.3226,0,-19.5297
151,1982.29,49.9489,0,0,15.4387,0,0,0,0,0,0,0,0,0,19.1631,17.1631,15.4387,0,0,0,46.3336,25.3237,0,-19.1631
152,1996.17,49.9677,0,0,15.2197,0,0,0,0,0,0,0,0,0,18.9316,16.9316,15.2197,0,0,0,46.2845,25.3248,0,-18.9316
153,2010.05,49.9796,0,0,15.0814,0,0,0,0,0,0,0,0,0,18.7854,16.7854,15.0814,0,0,0,46.2358,25.3258,0,-18.7854
154,2023.93,49.9871,0,0,14.9639,0,0,0,0,0,0,0,0,0,18.661,16.661,14.9639,0,0,0,46.1874,25.3269,0,-18.661
155,2037.81,49.955,0,0,14.3776,0,0,0,0,0,0,0,0,0,18.0398,16.0398,14.3776,0,0,0,46.1419,25.3277,0,-18.0398
156,2051.69,49.966,0,0,15.1792,0,0,0,0,0,0,0,0,0,18.8886,16.8886,15.1792,0,0,0,46.0932,25.3288,0,-18.8886
157,2065.56,49.8963,0,0,11.3508,0,0,0,0,0,0,0,0,0,14.8345,12.8345,11.3508,0,0,0,46.051,25.3295,0,-14.8345
158,2079.41,49.7996,0,0,12.6584,0,0,0,0,0,0,0,0,0,16.2171,14.2171,12.6584,0,0,0,46.0102,25.3301,0,-16.2171
159,2093.23,49.7252,0,0,13.1139,0,0,0,0,0,0,0,0,0,16.698,14.698,13.1139,0,0,0,45.9679,25.3308,0,-16.698
160,2107.03,49.6115,0,0,12.0972,0,0,0,0,0,0,0,0,0,15.6196,13.6196,12.0972,0,0,0,45.9289,25.3314,0,-15.6196
161,2120.8,49.5651,0,0,15.8163,0,0,0,0,0,0,0,0,0,19.5563,17.5563,15.8163,0,0,0,45.8845,25.3322,0,-19.5563
162,2134.59,49.7006,0,0,18.2416,0,0,0,0,0,0,0,0,0,22.1405,20.1405,18.2416,0,0,0,45.8271,25.3338,0,-22.1405
163,2148.41,49.8106,0,0,17.039,0,0,0,0,0,0,0,0,0,20.8602,18.8602,17.039,0,0,0,45.7718,25.3352,0,-20.8602
164,2162.25,49.8625,0,0,15.1155,0,0,0,0,0,0,0,0,0,18.8194,16.8194,15.1155,0,0,0,45.7207,25.3364,0,-18.8194
165,2176.11,49.8688,0,0,15.4406,0,0,0,0,0,0,0,0,0,19.1637,17.1637,15.4406,0,0,0,45.6725,25.3374,0,-19.1637
166,2189.96,49.9066,0,0,15.159,0,0,0,0,0,0,0,0,0,18.8663,16.8663,15.159,0,0,0,45.6221,25.3386,0,-18.8663
167,2203.82,49.8406,0,0,10.3227,0,0,0,0,0,0,0,0,0,13.75,11.75,10.3227,0,0,0,45.5798,25.3393,0,-13.75
168,2217.64,49.6082,0,0,8.91225,0,0,0,0,0,0,0,0,0,12.2642,10.2642,8.91225,0,0,0,45.5492,25.3395,0,-12.2642
169,2231.39,49.438,0,0,8.88352,0,0,0,0,0,0,0,0,0,12.2306,10.2306,8.88352,0,0,0,45.5143,25.3398,0,-12.2306
170,2245.1,49.2441,0,0,10.93,0,0,0,0,0,0,0,0,0,14.3772,12.3772,10.93,0,0,0,45.4809,25.3401,0,-14.3772
171,2258.77,49.2565,0,0,16.7271,0,0,0,0,0,0,0,0,0,20.5198,18.5198,16.7271,0,0,0,45.4327,25.3411,0,-20.5198
