corner,candidate,cycle,seed,distance_km,duration_s,avg_speed_kmh,power_limited_frac,payload_kg,gcw_kg,fuel_g_raw,fuel_g_corrected,fuel_L_per_100km,MJ_per_km,MJ_per_payload_tkm,unserved_kWh,charge_deficit_kWh,fuel_g_charge_correction_signed,correction_share,correction_eta_fuel_to_bus,e_spin_kWh,e_spin_coast_bracket_kWh,e_resistor_kWh,e_engine_brake_kWh,e_friction_brake_kWh,resistor_peak_kW,engine_brake_peak_kW
nominal,S4,REG-165,8108,165.001,9361,63.455,0.0306802,19343.6,36300,43745.2,43835.7,31.9315,11.3707,0.587827,0,0.426048,90.4966,0.00206445,0.395991,0.00301732,11.2476,0.23656,0,0.287624,47.7337,0
payload_plus20,S0,LH-520,8101,520,22710.8,82.4278,0.16083,24942,40457,176846,176846,40.8759,14.5557,0.583584,0,-0,-0,0,0.390278,0,0,0,172.73,39.9008,0,303.469
payload_plus20,S0,LH-520,8102,520,21116.1,88.6528,0.206458,24942,40457,179473,179473,41.4832,14.772,0.592254,0,-0,-0,0,0.387719,0,0,0,155.11,42.9247,0,303.594
payload_plus20,S0,LH-520,8103,520,22563.8,82.9648,0.181015,24942,40457,190796,190796,44.1004,15.704,0.62962,0,-0,-0,0,0.391093,0,0,0,156.531,37.1858,0,303.435
payload_plus20,S0,LH-520,8104,520,23448.6,79.8342,0.156908,24942,40457,185529,185529,42.8831,15.2705,0.61224,0,-0,-0,0,0.390645,0,0,0,143.501,36.5651,0,303.537
payload_plus20,S0,LH-520,8105,520,21686.9,86.3195,0.218836,24942,40457,203662,203662,47.0742,16.7629,0.672076,0,-0,-0,0,0.391722,0,0,0,125.986,35.8718,0,303.543
payload_plus20,S0,LH-520,8106,520,22375.2,83.6641,0.161374,24942,40457,175522,175522,40.57,14.4468,0.579216,0,-0,-0,0,0.389902,0,0,0,169.337,40.5209,0,303.29
payload_plus20,S0,LH-520,8107,520,21445.7,87.2903,0.221582,24942,40457,192884,192884,44.5829,15.8758,0.636508,0,-0,-0,0,0.389672,0,0,0,153.918,39.0368,0,303.496
payload_plus20,S0,LH-520,8108,520,23228.3,80.5914,0.138326,24942,40457,170364,170364,39.3777,14.0222,0.562194,0,-0,-0,0,0.389481,0,0,0,162.604,36.4752,0,303.397
payload_plus20,S0,REG-165,8101,165.001,9547.2,62.2174,0.0837619,24942,40457,51852.4,51852.4,37.7711,13.4501,0.539256,0,-0,-0,0,0.375658,0,0,0,50.0135,10.7191,0,303.633
payload_plus20,S0,REG-165,8102,165,9421.8,63.0453,0.07317,24942,40457,57751.4,57751.4,42.0683,14.9804,0.600607,0,-0,-0,0,0.380915,0,0,0,51.5251,7.67251,0,303.488
payload_plus20,S0,REG-165,8103,165.001,9562,62.1212,0.0886834,24942,40457,55820.4,55820.4,40.6615,14.4794,0.580523,0,-0,-0,0,0.380509,0,0,0,48.2051,8.57101,0,303.397
payload_plus20,S0,REG-165,8104,165.001,9469.7,62.7267,0.0714059,24942,40457,51058.5,51058.5,37.1928,13.2442,0.531,0,-0,-0,0,0.378861,0,0,0,54.5438,9.1564,0,303.491
payload_plus20,S0,REG-165,8105,165.001,9305.4,63.8343,0.0805115,24942,40457,49331,49331,35.9344,12.7961,0.513034,0,-0,-0,0,0.375522,0,0,0,56.4821,10.9864,0,303.647
payload_plus20,S0,REG-165,8106,165.001,9712.8,61.1567,0.074293,24942,40457,53793.4,53793.4,39.185,13.9536,0.559442,0,-0,-0,0,0.381098,0,0,0,59.0574,9.92085,0,303.375
payload_plus20,S0,REG-165,8107,165.001,9381.9,63.3136,0.051812,24942,40457,51690,51690,37.6528,13.408,0.537568,0,-0,-0,0,0.380468,0,0,0,49.9568,9.48997,0,303.542
payload_plus20,S0,REG-165,8108,165.001,9413.7,63.0997,0.0629714,24942,40457,51855.9,51855.9,37.7737,13.4511,0.539293,0,-0,-0,0,0.378423,0,0,0,50.4859,9.92552,0,303.637
payload_plus20,S1,LH-520,8101,520,22205.2,84.3046,0.141074,23277.3,40179.5,159461,161336,37.2909,13.2792,0.570478,8.84053,0.55284,110.322,0.0116186,0.421498,0.00188662,36.6825,56.2818,0,0.618383,314.168,0
payload_plus20,S1,LH-520,8102,520,20535.4,91.1597,0.187324,23277.3,40179.5,162822,164996,38.1371,13.5805,0.583422,10.3135,0.596064,118.821,0.0131805,0.421949,0.00420396,37.967,55.9943,0,0.892627,314.565,0
payload_plus20,S1,LH-520,8103,520,22075.2,84.8011,0.162485,23277.3,40179.5,176190,178538,41.2672,14.6951,0.631306,11.0016,0.783122,156.053,0.0131532,0.422101,0.00238998,36.761,55.6807,0,0.400506,314.255,0
payload_plus20,S1,LH-520,8104,520,22997.6,81.3999,0.12983,23277.3,40179.5,172175,174768,40.3957,14.3847,0.617974,12.3627,0.640489,127.71,0.0148355,0.421837,0.00161243,36.1907,52.2276,0,0.422963,313.976,0
payload_plus20,S1,LH-520,8105,520,21131.9,88.5865,0.191832,23277.3,40179.5,191812,195352,45.1534,16.079,0.690758,16.6145,1.17539,233.859,0.0181187,0.422754,0.00265226,37.6414,48.7376,0,0.175795,314.504,0
payload_plus20,S1,LH-520,8106,520,21891.8,85.5115,0.138499,23277.3,40179.5,158913,160545,37.1082,13.2141,0.567682,7.69226,0.489349,97.6293,0.0101672,0.421596,0.00399439,37.0154,57.902,0,0.677269,314.257,0
payload_plus20,S1,LH-520,8107,520,20918.5,89.4902,0.19584,23277.3,40179.5,177941,180088,41.6253,14.8226,0.636784,10.6865,0.0912553,18.179,0.0119221,0.422228,0.00372356,37.5952,55.2176,0,0.705431,314.552,0
payload_plus20,S1,LH-520,8108,520,22797.6,82.114,0.121139,23277.3,40179.5,153234,155896,36.0335,12.8314,0.551242,12.1935,1.1467,228.755,0.0170706,0.421638,0.00321934,36.334,54.4173,0,0.112432,314.021,0
payload_plus20,S1,REG-165,8101,165.001,9514.3,62.4325,0.0659842,23277.3,40179.5,45093.1,45616.9,33.229,11.8327,0.508338,0,2.59446,523.832,0.0114833,0.416594,0.00131991,11.1971,10.0104,0,0.675645,314.422,0
payload_plus20,S1,REG-165,8102,165.001,9397.2,63.2106,0.0617837,23277.3,40179.5,51482.4,51775.6,37.7152,13.4302,0.576967,0,1.45656,293.176,0.00566244,0.417887,0.00151286,11.1887,8.19037,0,0.605064,314.313,0
payload_plus20,S1,REG-165,8103,165,9517.3,62.4128,0.0732028,23277.3,40179.5,50109.2,50656.7,36.9002,13.14,0.5645,0,2.71398,547.569,0.0108094,0.416894,0.000782609,11.1596,8.45881,0,0.366459,313.915,0
payload_plus20,S1,REG-165,8104,165.001,9448.7,62.866,0.0562611,23277.3,40179.5,44037.5,44720.2,32.5758,11.6001,0.498345,0,3.3736,682.685,0.0152657,0.415654,0.00134064,11.2303,9.69429,0,0.826489,314.394,0
payload_plus20,S1,REG-165,8105,165.001,9266,64.1056,0.066371,23277.3,40179.5,40925.9,41849.8,30.4848,10.8555,0.466358,0,4.58411,923.885,0.0220762,0.417346,0.00101755,11.2005,10.5883,0,0.60586,314.228,0
payload_plus20,S1,REG-165,8106,165.001,9690.1,61.2999,0.052775,23277.3,40179.5,46117.4,46626.8,33.9646,12.0946,0.519591,0,2.52275,509.404,0.0109251,0.416554,0.00100916,11.1552,9.10965,0,1.28517,314.292,0
payload_plus20,S1,REG-165,8107,165,9370.8,63.3886,0.0374457,23277.3,40179.5,45316.4,45959.8,33.4788,11.9217,0.512159,0,3.18556,643.383,0.0139988,0.416461,0.00133527,11.2072,8.7533,0,0.75553,313.996,0
payload_plus20,S1,REG-165,8108,165.001,9391.7,63.2476,0.0520667,23277.3,40179.5,45645.7,45907.3,33.4405,11.908,0.511573,0,1.29467,261.623,0.00569893,0.416239,0.00139652,11.2326,9.21671,0,1.23216,314.413,0
payload_plus20,S2,LH-520,8101,520,22129.5,84.593,0.113355,22926.9,40121.1,159621,158857,36.7181,13.0752,0.5703,4.33407,-8.18881,-1622.62,-0.00480823,0.424485,0.00171945,14.7029,47.8147,35.7647,0.292454,313.851,184.593
payload_plus20,S2,LH-520,8102,520,20354.7,91.969,0.14461,22926.9,40121.1,162782,162639,37.5923,13.3865,0.583877,7.92,-8.64195,-1710.11,-0.000878403,0.425056,0.00157923,14.8473,33.6813,36.8183,0.310425,314.558,205.43
