# WS4-CONSTRUCTED Willans-line BSFC map - NOT measured
# engine: V3307-V1C-W  (Kubota V3307-CR-T class, 55.4 kW rated)
# displacement_l: 3.331, eta_i0: 0.435, fmep_bar(a0,a1,a2): (0.9, 0.32, 0.09), LHV_MJ_per_kg: 42.8, full_load_derate_applied: 1.0
# torque printed to 1e-4 Nm so the (torque, BSFC) pair is self-consistent for downstream interpolators (adjudication r1 F6)
rpm,torque_Nm,bsfc_g_per_kWh
1029,169.9600,235.7
1029,173.4800,234.8
1029,177.0000,234.1
1029,180.5200,233.3
1029,184.0400,232.6
1029,187.5600,231.9
1029,191.0800,232.5
1029,194.6000,233.1
1029,198.1200,233.8
1029,201.6400,234.5
1029,205.1600,235.3
1029,208.6800,236.1
1029,212.2000,236.9
1029,215.7200,237.7
1029,219.2400,238.6
1048,1.0000,7467.3
1048,4.5200,1808.6
1048,8.0400,1104.5
1048,11.5600,829.0
1048,15.0800,681.9
1048,18.6000,590.3
1048,22.1200,527.8
1048,25.6400,482.4
1048,29.1600,447.8
1048,32.6800,420.6
1048,36.2000,398.6
1048,39.7200,380.5
1048,43.2400,365.2
1048,46.7600,352.2
1048,50.2800,341.0
1048,53.8000,331.2
1048,57.3200,322.5
1048,60.8400,314.9
1048,64.3600,308.0
1048,67.8800,301.8
1048,71.4000,296.2
1048,74.9200,291.0
1048,78.4400,286.3
1048,81.9600,282.0
1048,85.4800,278.0
1048,89.0000,274.3
1048,92.5200,270.9
1048,96.0400,267.7
1048,99.5600,264.7
1048,103.0800,262.1
1048,106.6000,259.9
1048,110.1200,257.9
1048,113.6400,255.9
1048,117.1600,254.1
1048,120.6800,252.4
1048,124.2000,250.8
1048,127.7200,249.2
1048,131.2400,247.8
1048,134.7600,246.4
1048,138.2800,245.1
1048,141.8000,243.9
1048,145.3200,242.7
1048,148.8400,241.6
1048,152.3600,240.5
1048,155.8800,239.5
1048,159.4000,238.5
1048,162.9200,237.5
1048,166.4400,236.7
1048,169.9600,235.8
1048,173.4800,235.0
1048,177.0000,234.2
1048,180.5200,233.4
1048,184.0400,232.7
1048,187.5600,232.0
1048,191.0800,231.7
1048,194.6000,232.3
1048,198.1200,232.9
1048,201.6400,233.6
1048,205.1600,234.3
1048,208.6800,235.1
1048,212.2000,235.9
1048,215.7200,236.7
1048,219.2400,237.5
1048,222.7600,238.3
1066,1.0000,7514.0
1066,4.5200,1818.9
1066,8.0400,1110.2
1066,11.5600,832.9
1066,15.0800,684.9
1066,18.6000,592.8
1066,22.1200,529.9
1066,25.6400,484.1
1066,29.1600,449.3
1066,32.6800,422.0
1066,36.2000,399.9
1066,39.7200,381.6
1066,43.2400,366.3
1066,46.7600,353.2
1066,50.2800,341.9
1066,53.8000,332.0
1066,57.3200,323.3
1066,60.8400,315.6
1066,64.3600,308.7
1066,67.8800,302.5
1066,71.4000,296.8
1066,74.9200,291.7
1066,78.4400,286.9
1066,81.9600,282.6
1066,85.4800,278.6
1066,89.0000,274.9
1066,92.5200,271.4
1066,96.0400,268.2
1066,99.5600,265.2
1066,103.0800,262.5
1066,106.6000,260.2
1066,110.1200,258.1
1066,113.6400,256.2
1066,117.1600,254.4
1066,120.6800,252.6
1066,124.2000,251.0
1066,127.7200,249.5
1066,131.2400,248.0
1066,134.7600,246.6
1066,138.2800,245.3
1066,141.8000,244.1
1066,145.3200,242.9
1066,148.8400,241.7
1066,152.3600,240.7
1066,155.8800,239.6
1066,159.4000,238.6
1066,162.9200,237.7
1066,166.4400,236.8
1066,169.9600,235.9
1066,173.4800,235.1
1066,177.0000,234.3
1066,180.5200,233.5
1066,184.0400,232.8
1066,187.5600,232.1
1066,191.0800,231.4
1066,194.6000,231.5
1066,198.1200,232.1
1066,201.6400,232.8
1066,205.1600,233.4
1066,208.6800,234.2
1066,212.2000,234.9
1066,215.7200,235.7
1066,219.2400,236.5
1066,222.7600,237.3
1066,226.2800,238.1
1085,1.0000,7561.1
1085,4.5200,1829.3
1085,8.0400,1116.0
1085,11.5600,836.9
1085,15.0800,688.0
1085,18.6000,595.3
1085,22.1200,531.9
1085,25.6400,485.9
1085,29.1600,450.9
1085,32.6800,423.4
1085,36.2000,401.1
1085,39.7200,382.8
1085,43.2400,367.3
1085,46.7600,354.2
1085,50.2800,342.8
1085,53.8000,332.9
1085,57.3200,324.1
1085,60.8400,316.4
1085,64.3600,309.4
1085,67.8800,303.1
1085,71.4000,297.5
1085,74.9200,292.3
1085,78.4400,287.5
1085,81.9600,283.2
1085,85.4800,279.1
1085,89.0000,275.4
1085,92.5200,271.9
1085,96.0400,268.7
1085,99.5600,265.7
1085,103.0800,262.8
1085,106.6000,260.5
1085,110.1200,258.4
1085,113.6400,256.5
1085,117.1600,254.6
1085,120.6800,252.9
1085,124.2000,251.2
1085,127.7200,249.7
1085,131.2400,248.2
1085,134.7600,246.8
1085,138.2800,245.5
1085,141.8000,244.3
1085,145.3200,243.1
1085,148.8400,241.9
1085,152.3600,240.8
1085,155.8800,239.8
1085,159.4000,238.8
1085,162.9200,237.9
1085,166.4400,237.0
1085,169.9600,236.1
1085,173.4800,235.2
1085,177.0000,234.4
1085,180.5200,233.7
1085,184.0400,232.9
1085,187.5600,232.2
1085,191.0800,231.5
1085,194.6000,230.9
