corner,duty,candidate,seed,margin_vs_ruler_pct
payload_minus20,LH-520,S7,8108,0.339212
payload_minus20,LH-520,S4p,8101,-1.33932
payload_minus20,LH-520,S4p,8102,-2.931
payload_minus20,LH-520,S4p,8103,-3.60681
payload_minus20,LH-520,S4p,8104,-4.17411
payload_minus20,LH-520,S4p,8105,-7.75593
payload_minus20,LH-520,S4p,8106,-1.2947
payload_minus20,LH-520,S4p,8107,-4.27179
payload_minus20,LH-520,S4p,8108,-0.949656
grade_heavy,GH-REG-165,S5,8101,4.82201
grade_heavy,GH-REG-165,S5,8102,4.62334
grade_heavy,GH-REG-165,S5,8103,1.9029
grade_heavy,GH-REG-165,S5,8104,2.52238
grade_heavy,GH-REG-165,S5,8105,4.65714
grade_heavy,GH-REG-165,S5,8106,5.23264
grade_heavy,GH-REG-165,S5,8107,4.72735
grade_heavy,GH-REG-165,S5,8108,3.84923
grade_heavy,GH-REG-165,S5-13L,8101,7.35842
grade_heavy,GH-REG-165,S5-13L,8102,7.13719
grade_heavy,GH-REG-165,S5-13L,8103,5.35882
grade_heavy,GH-REG-165,S5-13L,8104,7.01062
grade_heavy,GH-REG-165,S5-13L,8105,6.84479
grade_heavy,GH-REG-165,S5-13L,8106,9.17547
grade_heavy,GH-REG-165,S5-13L,8107,7.16899
grade_heavy,GH-REG-165,S5-13L,8108,6.07355
grade_heavy,GH-REG-165,S6,8101,7.65155
grade_heavy,GH-REG-165,S6,8102,7.61549
grade_heavy,GH-REG-165,S6,8103,7.76172
grade_heavy,GH-REG-165,S6,8104,7.50598
grade_heavy,GH-REG-165,S6,8105,7.61256
grade_heavy,GH-REG-165,S6,8106,7.61507
grade_heavy,GH-REG-165,S6,8107,7.50193
grade_heavy,GH-REG-165,S6,8108,7.57878
grade_heavy,GH-REG-165,S7,8101,7.50426
grade_heavy,GH-REG-165,S7,8102,4.50913
grade_heavy,GH-REG-165,S7,8103,5.0632
grade_heavy,GH-REG-165,S7,8104,6.22982
grade_heavy,GH-REG-165,S7,8105,8.38545
grade_heavy,GH-REG-165,S7,8106,6.02971
grade_heavy,GH-REG-165,S7,8107,5.77998
grade_heavy,GH-REG-165,S7,8108,5.64986
grade_heavy,GH-REG-165,S4p,8101,16.7169
grade_heavy,GH-REG-165,S4p,8102,11.9539
grade_heavy,GH-REG-165,S4p,8103,13.4361
grade_heavy,GH-REG-165,S4p,8104,16.487
grade_heavy,GH-REG-165,S4p,8105,20.2181
grade_heavy,GH-REG-165,S4p,8106,16.5003
grade_heavy,GH-REG-165,S4p,8107,15.1707
grade_heavy,GH-REG-165,S4p,8108,15.0758
grade_heavy,LH-520,S5,8101,0.370078
grade_heavy,LH-520,S5,8102,0.588682
grade_heavy,LH-520,S5,8103,0.554758
grade_heavy,LH-520,S5,8104,0.503979
grade_heavy,LH-520,S5,8105,-0.476405
grade_heavy,LH-520,S5,8106,-0.190299
grade_heavy,LH-520,S5,8107,0.673633
grade_heavy,LH-520,S5,8108,0.441692
grade_heavy,LH-520,S5-13L,8101,1.10862
grade_heavy,LH-520,S5-13L,8102,1.10972
grade_heavy,LH-520,S5-13L,8103,0.786721
grade_heavy,LH-520,S5-13L,8104,0.653029
grade_heavy,LH-520,S5-13L,8105,0.856694
grade_heavy,LH-520,S5-13L,8106,0.962068
grade_heavy,LH-520,S5-13L,8107,0.558711
grade_heavy,LH-520,S5-13L,8108,1.4894
grade_heavy,LH-520,S6,8101,7.26313
grade_heavy,LH-520,S6,8102,7.42535
grade_heavy,LH-520,S6,8103,7.41213
grade_heavy,LH-520,S6,8104,7.27098
grade_heavy,LH-520,S6,8105,7.47373
grade_heavy,LH-520,S6,8106,7.35487
grade_heavy,LH-520,S6,8107,7.60168
grade_heavy,LH-520,S6,8108,7.27099
grade_heavy,LH-520,S7,8101,3.59576
grade_heavy,LH-520,S7,8102,3.02626
grade_heavy,LH-520,S7,8103,1.87959
grade_heavy,LH-520,S7,8104,2.23541
grade_heavy,LH-520,S7,8105,0.411334
grade_heavy,LH-520,S7,8106,3.32838
grade_heavy,LH-520,S7,8107,2.13831
grade_heavy,LH-520,S7,8108,3.3744
