corner,candidate,duty,seed,distance_km,duration_s,avg_speed_kmh,power_limited_frac,payload_kg,gcw_kg,fuel_g_raw,fuel_g_corrected,fuel_L_per_100km,grid_kWh,MJ_primary_per_payload_tkm,MJ_tank_per_payload_tkm,g_CO2_per_payload_tkm,unserved_kWh,charge_deficit_kWh,correction_share,correction_eta
nominal,S4p,GH-REG-165,8106,165,9785.1,60.7046,0.0798144,20134.4,36300,26796.1,36515.5,26.5993,110.688,0.811699,0.470434,50.8134,45.1292,0,0.266172,0.39055
nominal,S4p,GH-REG-165,8107,165,9442.8,62.9051,0.0528439,20134.4,36300,26555,34481.9,25.1179,111.285,0.781881,0.444235,48.5535,36.8703,0,0.229887,0.391227
nominal,S4p,GH-REG-165,8108,165.001,9477.3,62.6763,0.0568721,20134.4,36300,25239.8,33463,24.3756,110.858,0.765287,0.431107,47.3598,38.3044,0,0.245739,0.391803
nominal,S4p,LH-520,8101,520,21561.9,86.8199,0.0465773,20134.4,36300,120170,145467,33.6232,110.688,0.787568,0.594658,55.3991,118.103,0,0.173906,0.39268
nominal,S4p,LH-520,8102,520,19819.2,94.4539,0.0608901,20134.4,36300,119927,151332,34.9788,110.711,0.816115,0.618634,57.514,146.687,0,0.207527,0.392865
nominal,S4p,LH-520,8103,520,21401.1,87.4722,0.0497495,20134.4,36300,133104,164167,37.9455,110.668,0.878522,0.671103,62.1397,145.171,0,0.189219,0.393086
nominal,S4p,LH-520,8104,520,22427.7,83.4683,0.0459608,20134.4,36300,133956,159142,36.784,110.646,0.854062,0.650561,60.3277,117.829,0,0.158264,0.393499
nominal,S4p,LH-520,8105,520,20369.5,91.9022,0.0714398,20134.4,36300,143993,184665,42.6833,110.692,0.978254,0.754896,69.5295,190.096,0,0.220247,0.393131
nominal,S4p,LH-520,8106,520,21253,88.0817,0.0508067,20134.4,36300,119465,144410,33.3787,110.622,0.782376,0.590335,55.0161,116.492,0,0.172733,0.392812
nominal,S4p,LH-520,8107,520,20160.9,92.8531,0.0635683,20134.4,36300,132492,166583,38.5038,110.833,0.890392,0.680977,63.0149,159.259,0,0.204648,0.392939
